date,open,high,low,close
2024-10-04,1.10304,1.10398,1.09514,1.0976
2024-10-07,1.09674,1.0987,1.09544,1.09747
2024-10-08,1.09743,1.09973,1.0961,1.09814
2024-10-09,1.09795,1.09811,1.09363,1.09397
2024-10-10,1.09391,1.09548,1.09002,1.09369
2024-10-11,1.0937,1.09539,1.09262,1.09355
2024-10-14,1.09323,1.09368,1.08884,1.0909
2024-10-15,1.09065,1.09169,1.0882,1.08901
2024-10-16,1.08905,1.09017,1.08535,1.08624
2024-10-17,1.08618,1.08739,1.08112,1.08312
2024-10-18,1.0829,1.08696,1.08255,1.08676
2024-10-21,1.08615,1.08719,1.08113,1.08152
2024-10-22,1.08154,1.08382,1.07928,1.07982
2024-10-23,1.08015,1.08068,1.07614,1.07822
2024-10-24,1.07813,1.083,1.07707,1.08277
2024-10-25,1.08278,1.08394,1.07932,1.0795
2024-10-28,1.07949,1.08277,1.07822,1.08123
2024-10-29,1.08123,1.08264,1.07691,1.08184
2024-10-30,1.08183,1.08714,1.08082,1.08556
2024-10-31,1.08558,1.08883,1.08443,1.08836
2024-11-01,1.08836,1.09059,1.08318,1.08337
2024-11-04,1.08795,1.09149,1.08697,1.08784
2024-11-05,1.0878,1.09368,1.08725,1.09294
2024-11-06,1.09308,1.09374,1.06824,1.07289
2024-11-07,1.07292,1.08249,1.07128,1.08046
2024-11-08,1.08039,1.08056,1.06867,1.07198
2024-11-11,1.07138,1.07282,1.06285,1.06551
2024-11-12,1.06558,1.06631,1.05949,1.06228
2024-11-13,1.06225,1.06542,1.05555,1.05629
2024-11-14,1.05629,1.05827,1.04964,1.05302
2024-11-15,1.05302,1.05927,1.05162,1.05417
2024-11-18,1.05343,1.06075,1.05302,1.05988
2024-11-19,1.05987,1.06011,1.05235,1.05946
2024-11-20,1.05943,1.06101,1.05069,1.05439
2024-11-21,1.05438,1.05552,1.04622,1.04742
2024-11-22,1.0474,1.04983,1.03321,1.04174
2024-11-25,1.04767,1.05305,1.0449,1.04946
2024-11-26,1.04943,1.0545,1.04249,1.04887
2024-11-27,1.04874,1.05878,1.04742,1.05662
2024-11-28,1.05654,1.05703,1.05275,1.05516
2024-11-29,1.05517,1.05974,1.05414,1.05774
2024-12-02,1.05705,1.05715,1.04606,1.04981
2024-12-03,1.04983,1.05353,1.04806,1.05084
2024-12-04,1.05063,1.05444,1.04722,1.05123
2024-12-05,1.05113,1.05897,1.05077,1.05866
2024-12-06,1.05859,1.06299,1.05422,1.0568
2024-12-09,1.05611,1.05946,1.05319,1.05534
2024-12-10,1.05535,1.05683,1.04983,1.05275
2024-12-11,1.05272,1.05396,1.04802,1.04964
2024-12-12,1.04961,1.05312,1.04636,1.0469
2024-12-13,1.0468,1.05244,1.0453,1.05027
2024-12-16,1.04895,1.05248,1.04746,1.05114
2024-12-17,1.05122,1.05345,1.0479,1.0491
2024-12-18,1.04908,1.05129,1.0344,1.03531
2024-12-19,1.03526,1.04225,1.03473,1.03628
2024-12-20,1.03627,1.04478,1.03429,1.04296
2025-01-05,1.02624,1.03072,1.02621,1.03059
